snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
133,0.678125,0.32916666666666666,0.315625,0.4395833333333333,0.65,0.5041666666666667,-0.38343793,-0.14932883,-0.233794
134,0.6109375,0.37916666666666665,0.4,0.4166666666666667,0.5671875,0.5,-0.2167083,-0.13936722,-0.2539712
135,0.546875,0.4395833333333333,0.4921875,0.3875,0.4796875,0.4875,-0.029265542,-0.14293364,-0.28052312
136,0.4828125,0.4895833333333333,0.5609375,0.36875,0.421875,0.4625,0.11996525,-0.13703403,-0.29971325
137,0.4203125,0.5229166666666667,0.6125,0.3541666666666667,0.3859375,0.4395833333333333,0.23589438,-0.12126389,-0.3062531
138,0.36875,0.5270833333333333,0.6484375,0.35208333333333336,0.390625,0.39375,0.29538193,-0.07997459,-0.299762
139,0.3484375,0.5270833333333333,0.6734375,0.34791666666666665,0.4,0.38333333333333336,0.3290621,-0.060825814,-0.29726836
140,0.34375,0.5104166666666666,0.68125,0.36666666666666653,0.3921875,0.37916666666666665,0.30200973,-0.02028362,-0.29717177
141,0.315625,0.4208333333333333,0.6890625,0.34791666666666665,0.45625,0.32916666666666666,0.26320913,0.057598423,-0.21965526
142,0.334375,0.25,0.665625,0.25625,0.509375,0.19791666666666666,0.1865994,0.08762045,-0.053404406
143,0.3640625,0.08333333333333333,0.6484375,0.20625,0.553125,0.12916666666666668,0.0662385,0.15385123,0.08061744
144,0.41875,0.05833333333333333,0.578125,0.28958333333333336,0.64375,0.16041666666666668,-0.1279599,0.20002198,0.05034513
145,0.4859375,0.09375,0.4515625,0.425,0.75625,0.2395833333333333,-0.37493038,0.21558972,-0.03906138
146,0.571875,0.13958333333333334,0.2921875,0.6395833333333333,0.871875,0.325,-0.73328143,0.2802678,-0.17728145
147,0.6109375,0.13125,0.121875,0.7604166666666666,0.98125,0.38125,-1.0223334,0.31345725,-0.20825757
151,0.7140625,0.1375,0.0328125,0.6958333333333333,0.990625,0.44166666666666665,-1.0655587,0.13796248,-0.18744059
152,0.7109375,0.15208333333333332,0.059375,0.6354166666666666,0.96875,0.4666666666666667,-0.9653832,0.074830405,-0.16955854
153,0.7359375,0.18958333333333333,0.078125,0.5583333333333333,0.9203125,0.4729166666666666,-0.8458016,-0.04513376,-0.16435333
154,0.7796875,0.22083333333333333,0.109375,0.4166666666666667,0.84375,0.48125,-0.66097677,-0.23347402,-0.12825383
155,0.78125,0.2395833333333333,0.1859375,0.3645833333333333,0.759375,0.4770833333333334,-0.52987206,-0.27042475,-0.13199192
156,0.74375,0.2625,0.2671875,0.3229166666666667,0.65625,0.44375,-0.3831086,-0.27515203,-0.13218968
157,0.675,0.30416666666666664,0.3609375,0.29375,0.565625,0.4083333333333333,-0.20843634,-0.258876,-0.14484838
158,0.5828125,0.33541666666666664,0.49375,0.2916666666666667,0.4953125,0.37083333333333335,-0.031511974,-0.17295873,-0.16849543
159,0.421875,0.35625,0.61875,0.31666666666666665,0.45625,0.325,0.13440302,-0.013621995,-0.17564861
160,0.265625,0.3854166666666667,0.7359375,0.3395833333333333,0.440625,0.30416666666666664,0.3012608,0.12977599,-0.18707414
161,0.171875,0.3895833333333333,0.840625,0.3625,0.4359375,0.30416666666666664,0.4052602,0.25298283,-0.19957891
162,0.1359375,0.3895833333333333,0.8625,0.41041666666666665,0.4421875,0.3,0.38718984,0.33474833,-0.22035278
163,0.1375,0.39166666666666666,0.86875,0.4541666666666666,0.4515625,0.2958333333333333,0.34532326,0.38173085,-0.24840482
164,0.16875,0.3875,0.8296875,0.4770833333333334,0.4640625,0.3020833333333333,0.27149567,0.37355644,-0.2585398
165,0.2296875,0.375,0.7796875,0.4729166666666666,0.496875,0.3104166666666667,0.19692479,0.32189542,-0.2549796
166,0.2890625,0.35208333333333336,0.696875,0.475,0.53125,0.32916666666666666,0.08186474,0.27101904,-0.23892142
167,0.390625,0.3333333333333333,0.6265625,0.4729166666666666,0.5640625,0.3458333333333333,-0.036037415,0.19418028,-0.24050844
168,0.4390625,0.31666666666666665,0.5796875,0.4645833333333334,0.578125,0.35208333333333336,-0.101234615,0.15006214,-0.22845213
169,0.44375,0.3145833333333333,0.5640625,0.4520833333333333,0.5765625,0.35208333333333336,-0.10358941,0.12851292,-0.2174492
170,0.44375,0.3104166666666667,0.5765625,0.43125,0.559375,0.34375,-0.07487976,0.115808666,-0.2061552
171,0.4125,0.31875,0.6,0.41041666666666665,0.5390625,0.33541666666666664,-0.011411386,0.11523174,-0.19572689
172,0.403125,0.3229166666666667,0.6109375,0.4083333333333333,0.5375,0.32916666666666666,0.0076088067,0.120022506,-0.19704254
173,0.4265625,0.3083333333333333,0.59375,0.42291666666666666,0.5625,0.3270833333333333,-0.045826994,0.12691523,-0.19878413
174,0.41875,0.2833333333333333,0.553125,0.44166666666666665,0.6,0.3270833333333333,-0.11566078,0.15387242,-0.1794825
175,0.478125,0.25416666666666665,0.5046875,0.44375,0.6359375,0.3333333333333333,-0.20995255,0.1248078,-0.1682639
176,0.521875,0.2479166666666667,0.446875,0.4479166666666667,0.6625,0.3583333333333333,-0.28591737,0.082328744,-0.16597107
177,0.5671875,0.2520833333333333,0.39375,0.4604166666666666,0.68125,0.39375,-0.35910967,0.040851194,-0.17712912
178,0.6015625,0.275,0.3515625,0.4708333333333333,0.690625,0.425,-0.39953133,-0.007541727,-0.19874781
179,0.6359375,0.3,0.3265625,0.4645833333333334,0.6953125,0.45,-0.40670788,-0.06726317,-0.21687695
180,0.6484375,0.3083333333333333,0.3171875,0.44583333333333336,0.6984375,0.46875,-0.39242113,-0.106163524,-0.21380256
181,0.6609375,0.31666666666666665,0.328125,0.4270833333333333,0.6578125,0.4770833333333334,-0.3624719,-0.13570693,-0.21580964
182,0.653125,0.3229166666666667,0.3671875,0.4041666666666667,0.6203125,0.44375,-0.2976519,-0.14230284,-0.21430583
183,0.615625,0.34375,0.4046875,0.38125,0.6015625,0.4208333333333333,-0.2066992,-0.14532247,-0.21247318
184,0.5515625,0.36666666666666653,0.4828125,0.37916666666666665,0.54375,0.4041666666666667,-0.09293334,-0.09426878,-0.22566979
185,0.484375,0.3645833333333333,0.5359375,0.41458333333333336,0.5484375,0.3875,-0.05993583,0.008638941,-0.23587964
186,0.428125,0.3458333333333333,0.559375,0.4604166666666666,0.5703125,0.3854166666666667,-0.08140714,0.11657608,-0.2368661
187,0.4453125,0.3375,0.5515625,0.5041666666666667,0.596875,0.3875,-0.15103948,0.15703711,-0.25958887
188,0.4625,0.3270833333333333,0.5234375,0.5208333333333334,0.61875,0.4,-0.2085832,0.16065086,-0.26047745
189,0.503125,0.33541666666666664,0.478125,0.5104166666666666,0.63125,0.4166666666666667,-0.2443898,0.09787488,-0.26179755
190,0.565625,0.35208333333333336,0.428125,0.4791666666666667,0.6390625,0.4395833333333333,-0.26439,-0.008949026,-0.2630096
191,0.6140625,0.3541666666666667,0.378125,0.425,0.609375,0.5083333333333333,-0.26647332,-0.120955974,-0.23757325
192,0.6703125,0.3854166666666667,0.375,0.38333333333333336,0.56875,0.5229166666666667,-0.22323635,-0.22599877,-0.25271258
193,0.6890625,0.41875,0.36875,0.33541666666666664,0.5140625,0.5229166666666667,-0.15500693,-0.31956694,-0.25225487
194,0.6703125,0.4479166666666667,0.375,0.3020833333333333,0.4796875,0.5125,-0.078379795,-0.36653727,-0.24809097
195,0.63125,0.4541666666666666,0.45625,0.325,0.4703125,0.5,-0.016791014,-0.28693116,-0.27359313
